Time,NetEnergy,DiffEnergy
0.0572679,38.6762,0.0664422
0.0574821,38.7687,0.092464
0.0575,38.7811,0.012401
0.0575,38.7811,1.2945e-06
0.0575179,38.8475,0.0664422
0.0577321,38.94,0.092464
0.05775,38.9524,0.012401
0.05775,38.9524,1.2945e-06
0.0577679,39.0188,0.0664422
0.0579821,39.1113,0.092464
0.058,39.1237,0.012401
0.058,39.1237,1.2945e-06
0.0580179,39.1901,0.0664422
0.0582321,39.2826,0.092464
0.05825,39.295,0.012401
0.05825,39.295,1.2945e-06
0.0582679,39.3614,0.0664422
0.0584821,39.4539,0.092464
0.0585,39.4663,0.012401
0.0585,39.4663,1.2945e-06
0.0585179,39.5327,0.0664422
0.0587321,39.6252,0.092464
0.05875,39.6376,0.012401
0.05875,39.6376,1.2945e-06
0.0587679,39.704,0.0664422
0.0589821,39.7965,0.092464
0.059,39.8089,0.012401
0.059,39.8089,1.2945e-06
0.0590179,39.8753,0.0664422
0.0592321,39.9678,0.092464
0.05925,39.9802,0.012401
0.05925,39.9802,1.2945e-06
0.0592679,40.0467,0.0664422
0.0594821,40.1391,0.092464
0.0595,40.1515,0.012401
0.0595,40.1515,1.2945e-06
0.0595179,40.218,0.0664422
0.0597321,40.3104,0.092464
0.05975,40.3228,0.012401
0.05975,40.3228,1.2945e-06
0.0597679,40.3893,0.0664422
0.0599821,40.4817,0.092464
0.06,40.4941,0.012401
0.06,40.4941,1.2945e-06
0.0600179,40.5606,0.0664422
0.0602321,40.653,0.092464
0.06025,40.6654,0.012401
0.06025,40.6654,1.2945e-06
0.0602679,40.7319,0.0664422
0.0604821,40.8244,0.092464
0.0605,40.8368,0.012401
0.0605,40.8368,1.2945e-06
0.0605179,40.9032,0.0664422
0.0607321,40.9957,0.092464
0.06075,41.0081,0.012401
0.06075,41.0081,1.2945e-06
0.0607679,41.0745,0.0664422
0.0609821,41.167,0.092464
0.061,41.1794,0.012401
0.061,41.1794,1.2945e-06
0.0610179,41.2458,0.0664422
0.0612321,41.3383,0.092464
0.06125,41.3507,0.012401
0.06125,41.3507,1.2945e-06
0.0612679,41.4171,0.0664422
0.0614821,41.5096,0.092464
0.0615,41.522,0.012401
0.0615,41.522,1.2945e-06
0.0615179,41.5884,0.0664422
0.0617321,41.6809,0.092464
0.06175,41.6933,0.012401
0.06175,41.6933,1.2945e-06
0.0617679,41.7597,0.0664422
0.0619821,41.8522,0.092464
0.062,41.8646,0.012401
0.062,41.8646,1.2945e-06
0.0620179,41.931,0.0664422
0.0622321,42.0235,0.092464
0.06225,42.0359,0.012401
0.06225,42.0359,1.2945e-06
0.0622679,42.1024,0.0664422
0.0624821,42.1948,0.092464
0.0625,42.2072,0.012401
0.0625,42.2072,1.2945e-06
0.0625179,42.2737,0.0664422
0.0627321,42.3661,0.092464
0.06275,42.3785,0.012401
0.06275,42.3785,1.2945e-06
0.0627679,42.445,0.0664422
0.0629821,42.5374,0.092464
0.063,42.5498,0.012401
0.063,42.5498,1.2945e-06
0.0630179,42.6163,0.0664422
0.0632321,42.7087,0.092464
0.06325,42.7211,0.012401
0.06325,42.7211,1.2945e-06
0.0632679,42.7876,0.0664422
0.0634821,42.8801,0.092464
0.0635,42.8925,0.012401
0.0635,42.8925,1.2945e-06
0.0635179,42.9589,0.0664422
0.0637321,43.0514,0.092464
0.06375,43.0638,0.012401
0.06375,43.0638,1.2945e-06
0.0637679,43.1302,0.0664422
0.0639821,43.2227,0.092464
0.064,43.2351,0.012401
0.064,43.2351,1.2945e-06
0.0640179,43.3015,0.0664422
0.0642321,43.394,0.092464
0.06425,43.4064,0.012401
0.06425,43.4064,1.2945e-06
0.0642679,43.4728,0.0664422
0.0644821,43.5653,0.092464
0.0645,43.5777,0.012401
0.0645,43.5777,1.2945e-06
0.0645179,43.6441,0.0664422
0.0647321,43.7366,0.092464
0.06475,43.749,0.012401
0.06475,43.749,1.2945e-06
0.0647679,43.8154,0.0664422
0.0649821,43.9079,0.092464
0.065,43.9203,0.012401
0.065,43.9203,1.2945e-06
0.0650179,43.9867,0.0664422
0.0652321,44.0792,0.092464
0.06525,44.0916,0.012401
0.06525,44.0916,1.2945e-06
0.0652679,44.1581,0.0664422
0.0654821,44.2505,0.092464
0.0655,44.2629,0.012401
0.0655,44.2629,1.2945e-06
0.0655179,44.3294,0.0664422
0.0657321,44.4218,0.092464
0.06575,44.4342,0.012401
0.06575,44.4342,1.2945e-06
0.0657679,44.5007,0.0664422
0.0659821,44.5931,0.092464
0.066,44.6055,0.012401
0.066,44.6055,1.2945e-06
0.0660179,44.672,0.0664422
0.0662321,44.7644,0.092464
0.06625,44.7768,0.012401
0.06625,44.7768,1.2945e-06
0.0662679,44.8433,0.0664422
0.0664821,44.9358,0.092464
0.0665,44.9482,0.012401
0.0665,44.9482,1.2945e-06
0.0665179,45.0146,0.0664422
0.0667321,45.1071,0.092464
0.06675,45.1195,0.012401
0.06675,45.1195,1.2945e-06
0.0667679,45.1859,0.0664422
0.0669821,45.2784,0.092464
0.067,45.2908,0.012401
0.067,45.2908,1.2945e-06
0.0670179,45.3572,0.0664422
0.0672321,45.4497,0.092464
0.06725,45.4621,0.012401
0.06725,45.4621,1.2945e-06
0.0672679,45.5285,0.0664422
0.0674821,45.621,0.092464
0.0675,45.6334,0.012401
0.0675,45.6334,1.2945e-06
0.0675179,45.6998,0.0664422
0.0677321,45.7923,0.092464
